"Time","F1","F2","F3",
4.91,0.1,0.3,0.3,
4.92,0.1,0.3,0.3,
4.93,0.1,0.3,0.3,
4.94,0.1,0.3,0.3,
4.95,0.1,0.3,0.3,
4.96,0.1,0.3,0.3,
4.97,0.1,0.3,0.3,
4.98,0.1,0.3,0.3,
4.99,0.1,0.3,0.3,
5,0.1,0.3,0.3,
5.01,0.1,0.3,0.3,
5.02,0.1,0.3,0.3,
5.03,0.1,0.3,0.3,
5.04,0.1,0.3,0.3,
5.05,0.1,0.3,0.3,
5.06,0.1,0.3,0.3,
5.07,0.1,0.3,0.3,
5.08,0.1,0.3,0.3,
5.09,0.1,0.3,0.3,
5.1,0.1,0.3,0.3,
5.11,0.1,0.3,0.3,
5.12,0.1,0.3,0.3,
5.13,0.1,0.3,0.3,
5.14,0.1,0.3,0.3,
5.15,0.1,0.3,0.3,
5.16,0.1,0.3,0.3,
5.17,0.1,0.3,0.3,
5.18,0.1,0.3,0.3,
5.19,0.1,0.3,0.3,
5.2,0.1,0.3,0.3,
5.21,0.1,0.3,0.3,
5.22,0.1,0.3,0.3,
5.23,0.1,0.3,0.3,
5.24,0.1,0.3,0.3,
5.25,0.1,0.3,0.3,
5.26,0.1,0.3,0.3,
5.27,0.1,0.3,0.3,
5.28,0.1,0.3,0.3,
5.29,0.1,0.3,0.3,
5.3,0.1,0.3,0.3,
5.31,0.1,0.3,0.3,
5.32,0.1,0.3,0.3,
5.33,0.1,0.3,0.3,
5.34,0.1,0.3,0.3,
5.35,0.1,0.3,0.3,
5.36,0.1,0.3,0.3,
5.37,0.1,0.3,0.3,
5.38,0.1,0.3,0.3,
5.39,0.1,0.3,0.3,
5.4,0.1,0.3,0.3,
5.41,0.1,0.3,0.3,
5.42,0.1,0.3,0.3,
5.43,0.1,0.3,0.3,
5.44,0.1,0.3,0.3,
5.45,0.1,0.3,0.3,
5.46,0.1,0.3,0.3,
5.47,0.1,0.3,0.3,
5.48,0.1,0.3,0.3,
5.49,0.1,0.3,0.3,
5.5,0.1,0.3,0.3,
5.51,0.1,0.3,0.3,
5.52,0.1,0.3,0.3,
5.53,0.1,0.3,0.3,
5.54,0.1,0.3,0.3,
5.55,0.1,0.3,0.3,
5.56,0.1,0.3,0.3,
5.57,0.1,0.3,0.3,
5.58,0.1,0.3,0.3,
5.59,0.1,0.3,0.3,
5.6,0.1,0.3,0.3,
5.61,0.1,0.3,0.3,
5.62,0.1,0.3,0.3,
5.63,0.1,0.3,0.3,
5.64,0.1,0.3,0.3,
5.65,0.1,0.3,0.3,
5.66,0.1,0.3,0.3,
5.67,0.1,0.3,0.3,
5.68,0.1,0.3,0.3,
5.69,0.1,0.3,0.3,
5.7,0.1,0.3,0.3,
5.71,0.1,0.3,0.3,
5.72,0.1,0.3,0.3,
5.73,0.1,0.3,0.3,
5.74,0.1,0.3,0.3,
5.75,0.1,0.3,0.3,
5.76,0.1,0.3,0.3,
5.77,0.1,0.3,0.3,
5.78,0.1,0.3,0.3,
5.79,0.1,0.3,0.3,
5.8,0.1,0.3,0.3,
5.81,0.1,0.3,0.3,
5.82,0.1,0.3,0.3,
5.83,0.1,0.3,0.3,
5.84,0.1,0.3,0.3,
5.85,0.1,0.3,0.3,
5.86,0.1,0.3,0.3,
5.87,0.1,0.3,0.3,
5.88,0.1,0.3,0.3,
5.89,0.1,0.3,0.3,
5.9,0.1,0.3,0.3,
5.91,0.1,0.3,0.3,
5.92,0.1,0.3,0.3,
5.93,0.1,0.3,0.3,
5.94,0.1,0.3,0.3,
5.95,0.1,0.3,0.3,
5.96,0.1,0.3,0.3,
5.97,0.1,0.3,0.3,
5.98,0.1,0.3,0.3,
5.99,0.1,0.3,0.3,
6,0.1,0.3,0.3,
6.01,0.1,0.3,0.3,
6.02,0.1,0.3,0.3,
6.03,0.1,0.3,0.3,
6.04,0.1,0.3,0.3,
6.05,0.1,0.3,0.3,
6.06,0.1,0.3,0.3,
6.07,0.1,0.3,0.3,
6.08,0.1,0.3,0.3,
6.09,0.1,0.3,0.3,
6.1,0.1,0.3,0.3,
6.11,0.1,0.3,0.3,
6.12,0.1,0.3,0.3,
6.13,0.1,0.3,0.3,
6.14,0.1,0.3,0.3,
6.15,0.1,0.3,0.3,
6.16,0.1,0.3,0.3,
6.17,0.1,0.3,0.3,
6.18,0.1,0.3,0.3,
6.19,0.1,0.3,0.3,
6.2,0.1,0.3,0.3,
6.21,0.1,0.3,0.3,
6.22,0.1,0.3,0.3,
6.23,0.1,0.3,0.3,
6.24,0.1,0.3,0.3,
6.25,0.1,0.3,0.3,
6.26,0.1,0.3,0.3,
6.27,0.1,0.3,0.3,
6.28,0.1,0.3,0.3,
6.29,0.1,0.3,0.3,
6.3,0.1,0.3,0.3,
6.31,0.1,0.3,0.3,
6.32,0.1,0.3,0.3,
6.33,0.1,0.3,0.3,
6.34,0.1,0.3,0.3,
6.35,0.1,0.3,0.3,
6.36,0.1,0.3,0.3,
6.37,0.1,0.3,0.3,
6.38,0.1,0.3,0.3,
6.39,0.1,0.3,0.3,
6.4,0.1,0.3,0.3,
6.41,0.1,0.3,0.3,
6.42,0.1,0.3,0.3,
6.43,0.1,0.3,0.3,
6.44,0.1,0.3,0.3,
6.45,0.1,0.3,0.3,
6.46,0.1,0.3,0.3,
6.47,0.1,0.3,0.3,
6.48,0.1,0.3,0.3,
6.49,0.1,0.3,0.3,
6.5,0.1,0.3,0.3,
6.51,0.1,0.3,0.3,
6.52,0.1,0.3,0.3,
6.53,0.1,0.3,0.3,
6.54,0.1,0.3,0.3,
6.55,0.1,0.3,0.3,
6.56,0.1,0.3,0.3,
6.57,0.1,0.3,0.3,
6.58,0.1,0.3,0.3,
6.59,0.1,0.3,0.3,
6.6,0.1,0.3,0.3,
6.61,0.1,0.3,0.3,
6.62,0.1,0.3,0.3,
6.63,0.1,0.3,0.3,
6.64,0.1,0.3,0.3,
6.65,0.1,0.3,0.3,
6.66,0.1,0.3,0.3,
6.67,0.1,0.3,0.3,
6.68,0.1,0.3,0.3,
6.69,0.1,0.3,0.3,
6.7,0.1,0.3,0.3,
6.71,0.1,0.3,0.3,
